ID	DOCULECT	CONCEPT	FORM	TOKENS	ATTESTED	ANCESTOR	RELATION	PROCESS	COGID	ROOT	STEM	ALIGNMENT	WORD_CLASS	INFLECTION_CLASS	CASE	GENDER	QUESTIONMARK	SQUAREBRACKET	UNSURE	NOTES
331	Indo-European	?	bʰénǵʰi̯onṃ	bʱ ˈɛ n gʱ j ɔ n m̩	0	329	inflection	a.sg.masculine	58	bʰenǵʰ	0	bʱ ˈɛ n gʱ j ɔ n m̩	adjective		a.sg.	masculine				irregular alternative form due to mix with -i̯en-stems
332	Vedic	sehr dick	bám̐hīyas-	b ˈɐ N ɦ iː j ɐ s	0	329	inheritance	inheritance	0	bʰenǵʰ	1		adjective					[	[	
333	Vedic	sehr dick	bám̐hīyān	b ˈɐ N ɦ iː j aː n	1	332	inflection	n.sg.masculine	57	bʰenǵʰ	0	b ˈɐ N ɦ iː j aː n	adjective		n.sg.	masculine		[	[	
334	Greek	stattlicher (A.Sg.)	πάσσον-	p ˈa sː ɔ n	0	337	analogy	analogy: 312	0	bʰenǵʰ	1		adjective					[	[	
335	Greek	stattlicher (A.Sg.)	πάσσονα	p ˈa sː ɔ n a	1	334	inflection	a.sg.masculine	0	bʰenǵʰ	0	p ˈa sː ɔ n a	adjective		a.sg.	masculine		[	[	
336	Greek	stattlicher (A.Sg.)	πένσσονα	p ˈɛ n sː ɔ n a	0	337	inflection	a.sg.masculine	58	bʰenǵʰ	0	p ˈɛ n - sː ɔ n a	adjective		a.sg.	masculine		[	[	
337	Greek	stattlicher (A.Sg.)	πένσσον-	p ˈɛ n sː ɔ n	0	329	inheritance	inheritance	0	bʰenǵʰ	1		adjective					[	[	
338	Indo-European	?	bʰenǵʰ-isth₂o-	bʱ ɛ n gʱ i s t χ ɔ	0	303	suffixation	suffix: i s t χ ɔ	0	bʰenǵʰ	1		adjective							
339	Indo-European	?	bʰenǵʰ-isth₂os	bʱ ɛ n gʱ i s t χ ɔ s	0	338	inflection	n.sg.masculine	59	bʰenǵʰ	0	bʱ ɛ n gʱ i s t χ ɔ s	adjective		n.sg.	masculine				
340	Vedic	stärkst, meist	bám̐hiṣṭha-	b ˈɐ N ɦ i ʂ ʈʰ ɐ	0	338	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
341	Vedic	stärkst, meist	bám̐hiṣṭhaḥ	b ˈɐ N ɦ i ʂ ʈʰ ɐ h	1	340	inflection	n.sg.masculine	59	bʰenǵʰ	0	b ˈɐ N ɦ i ʂ ʈʰ - ɐ h	adjective		n.sg.	masculine				
342	Greek	dickest	πάχιστο-	p ˈa kʰ ɪ s t ɔ	0	476	analogy	analogy: 312	0	bʰenǵʰ	1		adjective					[	[	
343	Greek	dickest	πάχιστος	p ˈa kʰ ɪ s t ɔ s	1	342	inflection	n.sg.masculine	0	bʰenǵʰ	0	p ˈa kʰ ɪ s t ɔ s	adjective		n.sg.	masculine		[	[	
344	Indo-European	?	bʰn̩ǵʰ-et-	bʱ n̩ gʱ ɛ t	0	303	derivation	zero-grade, suffix: ɛ t	0	bʰenǵʰ	1		adjective				?		?	
345	Indo-European	?	bʰn̩ǵʰēts	bʱ n̩ gʱ ɛː t s	0	344	inflection	n.sg.masculine	0	bʰenǵʰ	0	bʱ n̩ gʱ ɛː t s	adjective		n.sg.	masculine	?		?	
346	Indo-European	?	bʰn̩ǵʰētes	bʱ n̩ gʱ ɛː t ɛ s	0	344	inflection	n.pl.masculine	60	bʰenǵʰ	0	bʱ n̩ gʱ ɛː t ɛ s	adjective		n.pl.	masculine	?		?	
347	Greek	πλούσιοι, παχεῖς	πάχητ-	p ˈa kʰ ɛː t	0	344	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
348	Greek	πλούσιοι, παχεῖς	πάχητες	p ˈa kʰ ɛː t ɛ s	1	347	inflection	n.pl.masculine	60	bʰenǵʰ	0	p ˈa kʰ ɛː t ɛ s	adjective		n.pl.	masculine				
349	Greek	(Personenname)	Πάχητ-	p ˈa kʰ ɛː t	0	347	derivation	conversion to substantive	0	bʰenǵʰ	1		substantive							
350	Greek	(Personenname)	Πάχης	p ˈa kʰ ɛː s	1	349	inflection	n.sg.	0	bʰenǵʰ	0	p ˈa kʰ ɛː s	substantive		n.sg.					
351	Indo-European	?	bʰn̩ǵʰ-tó-	bʱ n̩ gʱ t ˈɔ	0	303	derivation	zero-grade, suffix: t ˈɔ	0	bʰenǵʰ	1									
352	Indo-European	?	bʰn̩ǵʰtós	bʱ n̩ gʱ t ˈɔ s	0	351	inflection	n.sg.	61	bʰenǵʰ	0	bʱ n̩ gʱ t ˈɔ s			n.sg.	masculine				
353	Vedic	?	bāḍha-	b aː ɖ̤ʱ ɐ	0	351	inheritance	inheritance	0	bʰenǵʰ	1									
354	Vedic	?	bāḍhaḥ	b aː ɖ̤ʱ ɐ h	1	353	inflection	n.sg.	61	bʰenǵʰ	0	b aː - ɖ̤ʱ ɐ h			n.sg.	masculine				
355	Vedic	kräftigen Ganges	bāḍhasŕ̩tvan-	b aː ɖ̤ʱ ɐ s ˈr̩ t w ɐ n	0	353	compound	compound with 0 s ˈr̩ t w ɐ n	0	bʰenǵʰ	1		adjective							
356	Vedic	kräftigen Ganges	bāḍhasŕ̩tvā	b aː ɖ̤ʱ ɐ s ˈr̩ t w aː	1	355	inflection	n.sg.masculine	0	bʰenǵʰ	0	b aː ɖ̤ʱ ɐ s ˈr̩ t w aː	adjective		n.sg.	masculine				
357	Indo-European	?	bʰn̩ǵʰ-eto-	bʱ n̩ gʱ ɛ t ɔ	0	303	derivation	zero-grade, suffix: ɛ t ɔ	0	bʰenǵʰ	1		adjective							
358	Indo-European	?	bʰn̩ǵʰetos	bʱ n̩ gʱ ɛ t ɔ s	0	357	inflection	n.sg.masculine	62	bʰenǵʰ	0	bʱ n̩ gʱ ɛ t ɔ s	adjective		n.sg.	masculine				
359	Greek	dick, stämmig, dicht	πάχετο-	p ˈa kʰ ɛ t ɔ	0	357	inheritance	inheritance	0	bʰenǵʰ	1		adjective							
360	Greek	dick, stämmig, dicht	πάχετος	p ˈa kʰ ɛ t ɔ s	1	359	inflection	n.sg.masculine	62	bʰenǵʰ	0	p ˈa kʰ ɛ t ɔ s	adjective		n.sg.	masculine				
361	Indo-European	tragen, bringen	bʰer-	bʱ ɛ ɾ	0				0	bʰer	1		root							
362	Indo-European	?	bʰor-	bʱ ɔ ɾ	0	361	derivation	o-grade	0	bʰer	1		substantive			masculine				
363	Indo-European	?	bʰōr	bʱ ɔː ɾ	0	362	inflection	n.sg.	63	bʰer	0	bʱ ɔː ɾ	substantive		n.sg.	masculine				
364	Greek	Dieb	φῶρ-	pʰ ˈɔː ɾ	0	362	inheritance	inheritance	0	bʰer	1		substantive			masculine				
365	Greek	Dieb	φῶρ	pʰ ˈɔː ɾ	1	364	inflection	n.sg.	63	bʰer	0	pʰ ˈɔː ɾ	substantive		n.sg.	masculine				
366	Latin	Dieb	fūr-	f uː ɾ	0	362	inheritance	inheritance	0	bʰer	1		substantive			masculine				
367	Latin	Dieb	fūr	f uː ɾ	1	366	inflection	n.sg.	63	bʰer	0	f uː ɾ	substantive		n.sg.	masculine				
368	Indo-European	?	bʰōr-on-	bʱ ɔː ɾ ɔ n	0	361	derivation	lengthened o-grade, suffix: ɔ n	0	bʰer	1		substantive			masculine				
369	Indo-European	?	bʰōrōn	bʱ ɔː ɾ ɔː n	0	368	inflection	n.sg.	64	bʰer	0	bʱ ɔː ɾ ɔː n	substantive		n.sg.	masculine				
370	Latin	Dieb, Frettchen, Wiesel	fūrōn-	f uː ɾ oː n	0	368	inheritance	inheritance	0	bʰer	1		substantive			masculine				
371	Latin	Dieb, Frettchen, Wiesel	fūrō	f uː ɾ oː	1	370	inflection	n.sg.	64	bʰer	0	f uː ɾ oː m	substantive		n.sg.	masculine				
372	Indo-European	?	bʰōr-ah₂-	bʱ ɔː ɾ a χ	0	361	derivation	lengthened o-grade, suffix: a χ	0	bʰer	1		substantive			feminine				
373	Indo-European	?	bʰōrah₂	bʱ ɔː ɾ a χ	0	372	inflection	n.sg.	65	bʰer	0	bʱ ɔː ɾ a χ	substantive		n.sg.	feminine				
374	Greek	Diebstahl	φωρᾱ́-	pʰ ɔː ɾ ˈaː	0	372	inheritance	inheritance	0	bʰer	1		substantive			feminine				
375	Greek	Diebstahl	φωρᾱ́	pʰ ɔː ɾ ˈaː	1	374	inflection	n.sg.	65	bʰer	0	pʰ ɔː ɾ ˈaː -	substantive		n.sg.	feminine				
377	Indo-European	?	bʰōr-i̯o-	bʱ ɔː ɾ j ɔ	0	361	derivation	lengthened o-grade, suffix: j ɔ	0	bʰer	1		adjective							
378	Indo-European	?	bʰōri̯os	bʱ ɔː ɾ j ɔ s	0	377	inflection	n.sg.masculine	66	bʰer	0	bʱ ɔː ɾ j ɔ s	adjective		n.sg.	masculine				
379	Greek	aus einem Diebstahl stammend	φώριο-	pʰ ˈɔː ɾ ɪ ɔ	0	377	inheritance	inheritance	0	bʰer	1		adjective							
380	Greek	aus einem Diebstahl stammend	φώριος	pʰ ˈɔː ɾ ɪ ɔ s	1	379	inflection	n.sg.masculine	66	bʰer	0	pʰ ˈɔː ɾ ɪ ɔ s	adjective		n.sg.	masculine				
381	Greek	Beweis	φώριο-	pʰ ˈɔː ɾ ɪ ɔ	0	917	inheritance	inheritance	0	bʰer	1		substantive			neuter				
382	Greek	Beweis	φώριον	pʰ ˈɔː ɾ ɪ ɔ n	1	381	inflection	n.sg.	67	bʰer	0	pʰ ˈɔː ɾ ɪ ɔ n	substantive		n.sg.	neuter				
383	Indo-European	?	bʰōri̯om	bʱ ɔː ɾ j ɔ n	0	917	inflection	n.sg.	67	bʰer	0	bʱ ɔː ɾ j ɔ n	substantive		n.sg.	neuter				
384	Indo-European	?	bʰr-ó-	bʱ ɾ ˈɔ	0	361	derivation	zero-grade, suffix: ˈɔ	0	bʰer	1									
385	Indo-European	?	bʰrós	bʱ ɾ ˈɔ s	0	384	inflection	n.sg.	68	bʰer	0	bʱ ɾ ˈɔ s			n.sg.					
386	Vedic	?	-bhrá-	bʱ ɾ ˈɐ	0	384	inheritance	inheritance	0	bʰer	1									
387	Vedic	?	-bhráḥ	bʱ ɾ ˈɐ h	0	386	inflection	n.sg.	68	bʰer	0	bʱ ɾ ˈɐ h			n.sg.					
388	Vedic	mit nicht fortzutragenden Gaben	anava-bhrá-rādhas-	ɐ n ɐ w ɐ bʱ ɾ ˈɐ ɾ aː dʱ ɐ s	0	386	compound	compound with 0 ɐ n ɐ w ɐ and compound2 with 0 ɾ aː dʱ ɐ h	0	bʰer	1		adjective							
389	Vedic	mit nicht fortzutragenden Gaben	anava-bhrá-rādhaḥ	ɐ n ɐ w ɐ bʱ ɾ ˈɐ ɾ aː dʱ ɐ h	1	388	inflection	n.sg.masculine	0	bʰer	0	ɐ n ɐ w ɐ bʱ ɾ ˈɐ ɾ aː dʱ ɐ h	adjective		n.sg.	masculine				
390	Greek	?	-φρο-	pʰ ɾ ɔ	0	384	inheritance	inheritance	0	bʰer	1									
391	Greek	?	φρος	pʰ ɾ ɔ s	0	390	inflection	n.sg.	68	bʰer	0	pʰ ɾ ɔ s			n.sg.					
392	Greek	Wagenstuhl (für Wagenlenker und Kämpfer), Zweiradwagen, Stuhl ohne Lehne	δί-φρο-	d ˈɪ pʰ ɾ ɔ	0	390	prefixation	prefix: d ˈɪ	0	bʰer	1		substantive			masculine				
393	Greek	Wagenstuhl (für Wagenlenker und Kämpfer), Zweiradwagen, Stuhl ohne Lehne	δίφρος	d ˈɪ pʰ ɾ ɔ s	0	392	inflection	n.sg.	0	bʰer	0	d ˈɪ pʰ ɾ ɔ s	substantive		n.sg.	masculine				
394	Greek	Wagenstuhl (für Wagenlenker und Kämpfer), Zweiradwagen, Stuhl ohne Lehne	δίσ-φρο-	d ˈɪ s pʰ ɾ ɔ	0	390	prefixation	prefix: d ˈɪ s	0	bʰer	1		substantive			masculine				
395	Greek	Wagenstuhl (für Wagenlenker und Kämpfer), Zweiradwagen, Stuhl ohne Lehne	δίσφρος	d ˈɪ s pʰ ɾ ɔ s	1	394	inflection	n.sg.	0	bʰer	0	d ˈɪ s pʰ ɾ ɔ s	substantive		n.sg.	masculine				
396	Latin	Vorwurf, Beleidigung, Schande	bro-	b ɾ ɔ	0	400	inheritance	inheritance	0	bʰer	1					neuter				
397	Latin	Vorwurf, Beleidigung, Schande	brum	b ɾ ʊ m	0	396	inflection	n.sg.	69	bʰer	0	b ɾ ʊ m			n.sg.	neuter				
398	Latin	Vorwurf, Beleidigung, Schande	probro-	p ɾ ɔ b ɾ ɔ	0	396	prefixation	prefix: p ɾ ɔ	0	bʰer	1		substantive			neuter				
399	Latin	Vorwurf, Beleidigung, Schande	probrum	p ɾ ɔ b ɾ ʊ m	1	398	inflection	n.sg.	0	bʰer	0	p ɾ ɔ b ɾ ʊ m	substantive		n.sg.	neuter				
400	Indo-European	?	bʰr-ó-	bʱ ɾ ˈɔ	0	361	derivation	zero-grade, suffix: ˈɔ	0	bʰer	1									
401	Indo-European	?	bʰróm	bʱ ɾ ˈɔ m	0	400	inflection	n.sg.	69	bʰer	0	bʱ ɾ ˈɔ m			n.sg.	neuter				
402	Indo-European	?	oi̯bʰr-ó-	ɔi̯ bʱ ɾ ˈɔ	0	384	compound	compound2 with 0 ɔi̯	0	bʰer	1		adjective							
403	Indo-European	?	oi̯bʰrós	ɔi̯ bʱ ɾ ˈɔ s	0	402	inflection	n.sg.masculine	70	bʰer	0	ɔi̯ bʱ - ɾ ˈɔ s	adjective		n.sg.	masculine				
404	Germanic	?	aibra-	ai̯ β r a	0	402	inheritance	inheritance	0	bʰer	1		adjective							
405	Germanic	?	aibraz	ai̯ β r a z	0	404	inflection	n.sg.masculine	70	bʰer	0	ai̯ β - r a z	adjective		n.sg.	masculine				
406	Old High German	scharf, beißend, bitter, heftig, schrecklich	eibar-	ei̯ b a r	0	404	inheritance	inheritance	0	bʰer	1		adjective							
407	Old High German	scharf, beißend, bitter, heftig, schrecklich	eibar	ei̯ b a r	1	406	inflection	n.sg.masculine	70	bʰer	0	ei̯ b a r - -	adjective		n.sg.	masculine				
408	Old High German	scharf, beißend, bitter, heftig, schrecklich	eifar-	ei̯ f a r	0	404	inheritance	inheritance	0	bʰer	1		adjective							
409	Old High German	scharf, beißend, bitter, heftig, schrecklich	eifar	ei̯ f a r	1	408	inflection	n.sg.masculine	70	bʰer	0	ei̯ f a r - -	adjective		n.sg.	masculine				
410	Indo-European	?	to-bʰr-o-	t ɔ bʱ ɾ ɔ	0	384	compound	compound2 with 0 t ɔ	0	bʰer	1									
411	Indo-European	?	to-bʰroh₂	t ɔ bʱ ɾ ɔ χ	0	410	inflection	a.pl.	71	bʰer	0	t ɔ bʱ ɾ ɔ χ			a.pl.					
412	Greek	?	τόφρο-	t ˈɔ pʰ ɾ o	0	410	inheritance	inheritance	0	bʰer	1									
413	Greek	solange	τόφρα	t ˈɔ pʰ ɾ a	1	958	inflection	uninflectable word form	0	bʰer	0	t ˈɔ pʰ ɾ a -	adverb							
414	Indo-European	?	bʰr̩-t-	bʱ ɾ̩ t	0	361	derivation	zero-grade, suffix: t	0	bʰer	1									
415	Indo-European	?	bʰr̩ts	bʱ ɾ̩ t s	0	414	inflection	n.sg.	72	bʰer	0	bʱ ɾ̩ t s			n.sg.					
416	Vedic	bringend, tragend	bhŕ̩t-	bʱ ˈr̩ t	0	414	inheritance	inheritance	0	bʰer	1									
417	Vedic	bringend, tragend	bhŕ̩t	bʱ ˈr̩ t	0	416	inflection	n.sg.	72	bʰer	0	bʱ ˈr̩ t -			n.sg.					
418	Vedic	Nahrung bringend	pitu-bhŕ̩t-	p i t u bʱ ˈr̩ t	0	416	compound	compound2 with 0 p i t u	0	bʰer	1		adjective							
419	Vedic	Nahrung bringend	pitu-bhŕ̩t	p i t u bʱ ˈr̩ t	1	418	inflection	n.sg.masculine	0	bʰer	0	p i t u bʱ ˈr̩ t	adjective		n.sg.	masculine				
420	Vedic	Last tragend	bhāra-bhŕ̩t-	bʱ aː ɾ ɐ bʱ ˈr̩ t	0	416	compound	compound2 with 0 bʱ aː ɾ ɐ	0	bʰer	1		adjective							
421	Vedic	Last tragend	bhāra-bhŕ̩t	bʱ aː ɾ ɐ bʱ ˈr̩ t	1	420	inflection	n.sg.masculine	0	bʰer	0	bʱ aː ɾ ɐ bʱ ˈr̩ t	adjective		n.sg.	masculine				
422	Vedic	hölzerne Opferschale	upa-bhŕ̩t-	u p ɐ bʱ ˈr̩ t	0	416	prefixation	prefix: u p ɐ	0	bʰer	1		substantive			feminine				
423	Vedic	hölzerne Opferschale	upa-bhŕ̩t	u p ɐ bʱ ˈr̩ t	1	422	inflection	n.sg.	0	bʰer	0	u p ɐ bʱ ˈr̩ t	substantive		n.sg.	feminine				
424	Indo-European	?	-bʰer-on-	bʱ ɛ ɾ ɔ n	0	361	suffixation	suffix: ɔ n	0	bʰer	1		substantive			masculine				
425	Indo-European	?	-bʰerōn	bʱ ɛ ɾ ɔː n	0	424	inflection	n.sg.	73	bʰer	0	bʱ ɛ ɾ ɔː n	substantive		n.sg.	masculine				
426	Germanic	?	-beran-	β ɛ r a n	0	424	inheritance	inheritance	0	bʰer	1		substantive			masculine				corrected from -berōn-
427	Germanic	?	berō	β ɛ r ɔː	0	426	inflection	n.sg.	73	bʰer	0	β ɛ r ɔː -	substantive		n.sg.	masculine				
428	Old High German	?	bero-	b e r o	0	426	inheritance	inheritance	0	bʰer	1		substantive			masculine				
429	Old High German	?	bero	b e r o	0	428	inflection	n.sg.	73	bʰer	0	b e r o -	substantive		n.sg.	masculine				
430	Old High German	Rittersporn	agabero-	a g a b e r o	0	428	compound	compound2 with 0 a g a	0	bʰer	1		substantive			masculine				
431	Old High German	Rittersporn	agabero	a g a b e r o	1	430	inflection	n.sg.	0	bʰer	0	a g a b e r o	substantive		n.sg.	masculine				
432	Indo-European	?	bʰér-men-	bʱ ˈɛ ɾ m ɛ n	0	361	suffixation	suffix: m ɛ n	0	bʰer	1		substantive			neuter				
433	Indo-European	?	bʰérmn̩	bʱ ˈɛ ɾ m n̩	0	432	inflection	n.sg.	74	bʰer	0	bʱ ˈɛ ɾ m n̩	substantive		n.sg.	neuter				
434	Vedic	Erhalten, Bewahren, Fürsorge	bhárman-	bʱ ˈɐ ɾ m ɐ n	0	432	inheritance	inheritance	0	bʰer	1		substantive			neuter				
435	Vedic	Erhalten, Bewahren, Fürsorge	bhárma	bʱ ˈɐ ɾ m ɐ	1	434	inflection	n.sg.	74	bʰer	0	bʱ ˈɐ ɾ m ɐ	substantive		n.sg.	neuter				
436	Greek	Frucht, Ertrag	φέρματ-	pʰ ˈɛ ɾ m a t	0	901	derivation	inflection class change	0	bʰer	1		substantive			neuter		[	[	
437	Greek	Frucht, Ertrag	φέρμα	pʰ ˈɛ ɾ m a	0	901	inflection	n.sg.	74	bʰer	0	pʰ ˈɛ ɾ m a	substantive		n.sg.	neuter		[	[	
438	Indo-European	?	bʰér-men-to-	bʱ ˈɛ ɾ m ɛ n t ɔ	0	432	suffixation	suffix: t ɔ	0	bʰer	1		substantive			neuter				
439	Indo-European	?	bʰér-mentom	bʱ ˈɛ ɾ m ɛ n t ɔ m	0	438	inflection	n.sg.	75	bʰer	0	bʱ ˈɛ ɾ m ɛ n t ɔ m	substantive		n.sg.	neuter				
440	Latin	Gährungsstoff, Sauerteig	fermento-	f ɛ ɾ m ɛ n t ɔ	0	438	inheritance	inheritance	0	bʰer	1		substantive			neuter				
441	Latin	Gährungsstoff, Sauerteig	fermentum	f ɛ ɾ m ɛ n t ʊ m	1	440	inflection	n.sg.	75	bʰer	0	f ɛ ɾ m ɛ n t ʊ m	substantive		n.sg.	neuter				
442	Indo-European	?	bʰēr-men-	bʱ ɛː ɾ m ɛ n	0	361	derivation	lengthened grade, suffix: m ɛ n	0	bʰer	1		substantive							
443	Indo-European	?	bʰērmen	bʱ ɛː ɾ m ɛ n	0	442	inflection	n.sg.	76	bʰer	0	bʱ ɛː ɾ m ɛ n	substantive		l.sg.					
444	Vedic	bei der Darbringung	bhā́rman-	bʱ ˈa ɾ m ɐ n	0	442	inheritance	inheritance	0	bʰer	1		substantive							
445	Vedic	bei der Darbringung	bhā́rman	bʱ ˈaː ɾ m ɐ n	1	444	inflection	n.sg.	76	bʰer	0	bʱ ˈaː ɾ m ɐ n	substantive		l.sg.					
446	Indo-European	?	bʰer-men-	bʱ ɛ ɾ m ɛ n	0	361	suffixation	suffix: m ɛ n	0	bʰer	1		substantive			masculine				
447	Indo-European	?	bʰermōn	bʱ ɛ ɾ m ɔː n	0	446	inflection	n.sg.	77	bʰer	0	bʱ ɛ ɾ m ɔː n	substantive		n.sg.	masculine				
448	Germanic	Hefe	berman-	β ɛ r m a n	0	446	inheritance	inheritance	0	bʰer	1		substantive			masculine	?		?	
449	Germanic	Hefe	bermō	β ɛ r m ɔː	0	448	inflection	n.sg.	77	bʰer	0	β ɛ r m ɔː -	substantive		n.sg.	masculine	?		?	
450	Indo-European	?	bʰer-tér-	bʱ ɛ ɾ t ˈɛ ɾ	0	361	suffixation	suffix: t ˈɛ ɾ	0	bʰer	1		substantive			masculine				
451	Indo-European	?	bʰertḗr	bʱ ɛ ɾ t ˈɛː ɾ	0	450	inflection	n.sg.	78	bʰer	0	bʱ ɛ ɾ t ˈɛː ɾ	substantive		n.sg.	masculine				
452	Vedic	Träger, Erhalter, Bewahrer, Herr	bhartár-	bʱ ɐ ɾ t ˈɐ ɾ	0	450	inheritance	inheritance	0	bʰer	1		substantive			masculine				
453	Vedic	Träger, Erhalter, Bewahrer, Herr	bhartā́	bʱ ɐ ɾ t ˈaː	1	452	inflection	n.sg.	78	bʰer	0	bʱ ɐ ɾ t ˈaː -	substantive		n.sg.	masculine				
454	Indo-European	?	bʰer-tr-ih₂-	bʱ ɛ ɾ t ɾ i χ	0	450	derivation	suffix-replacement: t ˈɛ ɾ, t ɾ i χ	0	bʰer	1		substantive			feminine				
455	Indo-European	?	bʰer-trih₂	bʱ ɛ ɾ t ɾ i χ	0	454	inflection	n.sg.	79	bʰer	0	bʱ ɛ ɾ t ɾ i χ	substantive		n.sg.	feminine				
456	Vedic	Ernährerin, Mutter	bhartrī́-	bʱ ɐ ɾ t ɾ ˈiː	0	454	inheritance	inheritance	0	bʰer	1		substantive			feminine				
457	Vedic	Ernährerin, Mutter	bhartrī́	bʱ ɐ ɾ t ɾ ˈiː	1	456	inflection	n.sg.	79	bʰer	0	bʱ ɐ ɾ t ɾ ˈiː -	substantive		n.sg.	feminine				
458	Indo-European	?	bʰér-tor-	bʱ ˈɛ ɾ t ɔ ɾ	0	361	suffixation	suffix: t ɔ ɾ	0	bʰer	1		substantive			masculine				
459	Indo-European	?	bʰértōr	bʱ ˈɛ ɾ t ɔː ɾ	0	458	inflection	n.sg.	80	bʰer	0	bʱ ˈɛ ɾ t ɔː ɾ	substantive		n.sg.	masculine				
460	Vedic	Gatte, Ernährer	bhártar-	bʱ ˈɐ ɾ t ɐ ɾ	0	458	inheritance	inheritance	0	bʰer	1		substantive			masculine				
461	Vedic	Gatte, Ernährer	bhártā	bʱ ˈɐ ɾ t aː	1	460	inflection	n.sg.	80	bʰer	0	bʱ ˈɐ ɾ t aː -	substantive		n.sg.	masculine				
462	Vedic	Voranbringer (von Indra)	prá-bhártar-	p ɾ ˈɐ bʱ ˈɐ ɾ t ɐ ɾ	0	460	prefixation	prefix: p ɾ ˈɐ	0	bʰer	1		substantive			masculine				
463	Vedic	Voranbringer (von Indra)	prá-bhártā	p ɾ ˈɐ bʱ ˈɐ ɾ t aː	1	462	inflection	n.sg.	0	bʰer	0	p ɾ ˈɐ bʱ ˈɐ ɾ t aː	substantive		n.sg.	masculine				
464	Latin	?	-fertōr-	f ɛ ɾ t oː ɾ	0	458	inheritance	inheritance	0	bʰer	1					masculine				
465	Latin	?	-fertor	f ɛ ɾ t ɔ ɾ	0	464	inflection	n.sg.	80	bʰer	0	f ɛ ɾ t ɔ ɾ			n.sg.	masculine				
466	Latin	Aufträger von Speisen	īn-fertōr-	iː n f ɛ ɾ t oː ɾ	0	464	prefixation	prefix: iː n	0	bʰer	1		substantive			masculine				
467	Latin	Aufträger von Speisen	īn-fertor	iː n f ɛ ɾ t ɔ ɾ	1	466	inflection	n.sg.	0	bʰer	0	iː n f ɛ ɾ t ɔ ɾ	substantive		n.sg.	masculine				
468	Latin	Opferer	of-fertōr-	ɔ f f ɛ ɾ t oː ɾ	0	464	prefixation	prefix: ɔ f	0	bʰer	1		substantive			masculine				
469	Latin	Opferer	of-fertor	ɔ f f ɛ ɾ t ɔ ɾ	1	468	inflection	n.sg.	0	bʰer	0	ɔ f f ɛ ɾ t ɔ ɾ	substantive		n.sg.	masculine				
470	Indo-European	?	-bʰer-i-	bʱ ɛ ɾ i	0	361	suffixation	suffix: i	0	bʰer	1									
471	Indo-European	?	-bʰeris	bʱ ɛ ɾ i s	0	470	inflection	n.sg.	81	bʰer	0	bʱ ɛ ɾ i s			n.sg.					
472	Vedic	?	-bhári-	bʱ ˈɐ ɾ i	0	470	inheritance	inheritance	0	bʰer	1									
473	Vedic	?	-bháriḥ	bʱ ˈɐ ɾ i h	0	472	inflection	n.sg.	81	bʰer	0	bʱ ˈɐ ɾ i h			n.sg.					
474	Vedic	Kraft tragend	saho-bhári-	s ɐ ɦ ɔː bʱ ˈɐ ɾ i	0	472	compound	compound2 with 0 s ɐ ɦ ɔː	0	bʰer	1		adjective							
475	Vedic	Kraft tragend	saho-bháriḥ	s ɐ ɦ ɔː bʱ ˈɐ ɾ i h	1	474	inflection	n.sg.masculine	0	bʰer	0	s ɐ ɦ ɔː bʱ ˈɐ ɾ i h	adjective		n.sg.	masculine				
476	Greek	dickest	πέγχιστο-	p ˈɛ ŋ kʰ ɪ s t ɔ	0	338	inheritance	inheritance	0	bʰenǵʰ	1		adjective					[	[	
477	Greek	dickest	πέγχιστος	p ˈɛ ŋ kʰ ɪ s t ɔ s	0	476	inflection	n.sg.masculine	59	bʰenǵʰ	0	p ˈɛ ŋ kʰ ɪ s t - ɔ s	adjective		n.sg.	masculine		[	[	
478	Indo-European	?	bʰr̩-ti-	bʱ ɾ̩ t i	0	361	derivation	zero-grade, suffix: t i	0	bʰer	1		substantive			feminine				
479	Indo-European	?	bʰŕ̩tis	bʱ ‘ɾ̩ t i s	0	478	inflection	n.sg.	82	bʰer	0	bʱ - ‘ɾ̩ t i s	substantive		n.sg.	feminine				
480	Vedic	Unterhalt, Pflege	bhr̩tí-	bʱ r̩ t ˈi	0	903	derivation	inflection class change	0	bʰer	1		substantive			feminine				
481	Vedic	Unterhalt, Pflege	bhr̩tíḥ	bʱ r̩ t ˈi h	1	480	inflection	n.sg.	0	bʰer	0	bʱ r̩ t ˈi h	substantive		n.sg.	feminine				
482	Vedic	Darbringung	prá-bhr̩ti-	p ɾ ˈɐ bʱ r̩ t i	0	480	prefixation	prefix: p ɾ ˈɐ	0	bʰer	1		substantive			feminine				
483	Vedic	Darbringung	prá-bhr̩tiḥ	p ɾ ˈɐ bʱ r̩ t i h	1	482	inflection	n.sg.	0	bʰer	0	p ɾ ˈɐ bʱ r̩ t i h	substantive		n.sg.	feminine				
484	Vedic	Herbeibringen von Brennholz	idhmá-bhr̩ti-	i dʱ m ˈɐ bʱ r̩ t i	0	480	compound	compound2 with 0 i dʱ m ˈɐ	0	bʰer	1		substantive			feminine				
485	Vedic	Herbeibringen von Brennholz	idhmá-bhr̩tiḥ	i dʱ m ˈɐ bʱ r̩ t i h	1	484	inflection	n.sg.	0	bʰer	0	i dʱ m ˈɐ bʱ r̩ t i h	substantive		n.sg.	feminine				
